Label correction,case,CSF_DSC,GM_DSC,WM_DSC,Avg_DSC,CSF_HD,GM_HD,WM_HD,Avg_HD,AVD
No,IBSR_11,0.0861,0.8151,0.9016,0.6009,44.0114,2.0000,1.4142,15.8085,0.3501
No,IBSR_12,0.1057,0.8020,0.8578,0.5885,42.6380,2.2361,2.4495,15.7745,0.4567
No,IBSR_13,0.0967,0.8106,0.8292,0.5789,43.3244,3.0000,3.0000,16.4415,0.4137
No,IBSR_17,0.1462,0.7889,0.8279,0.5877,48.4252,3.3166,2.4495,18.0638,0.3547
No,IBSR_14,0.1233,0.8353,0.8699,0.6095,45.7821,2.4495,2.2361,16.8226,0.3100
Yes,IBSR_11,0.7938,0.8151,0.9016,0.8368,3.6056,2.0000,1.4142,2.3399,0.1251
Yes,IBSR_12,0.8386,0.8020,0.8578,0.8328,2.8284,2.2361,2.4495,2.5047,0.1913
Yes,IBSR_13,0.7952,0.8106,0.8292,0.8117,2.4495,3.0000,3.0000,2.8165,0.2445
Yes,IBSR_17,0.8384,0.7889,0.8279,0.8184,2.8284,3.3166,2.4495,2.8648,0.1857
Yes,IBSR_14,0.8231,0.8353,0.8699,0.8428,2.2361,2.4495,2.2361,2.3072,0.1497
